Hotel_Id,Hotel_Name,Hotel_Address,Hotel_Descriptions,Hotel_City,Hotel_Star,Hotel_Price,Hotel_Rating
8057,My Moon Hotel Hanoi,"59 Cua Dong, Hoan Kiem, Quận Hoàn Kiếm","Mỗi phòng đều có khu vực tiếp khách, TV truyền hình vệ tinh màn hình phẳng và két an toàn cá nhân. Một số phòng có ban công. Minibar và ấm đun nước điện cũng được cung cấp cho du khách sử dụng. Phòng tắm riêng được trang bị bồn tắm hoặc vòi hoa sen, máy sấy tóc, đồ vệ sinh cá nhân miễn phí, áo choàng tắm và dép. Nhân viên ở quầy lễ tân 24 h có thể hỗ trợ du khách với các dịch vụ như nhận phòng/trả phòng nhanh, lưu giữ hành lý và sắp xếp việc đi lại. Dịch vụ vận chuyển, đưa đón sân bay và cho thuê xe hơi được cung cấp theo yêu cầu. Đạp xe là hoạt động phổ biến tại khu vực này. Nhà Thờ Lớn và Ô Quan Chưởng đều cách chỗ nghỉ 800 m. Sân bay gần nhất là sân bay quốc tế Nội Bài, cách đó 20 km.",Hà Nội,3,,"8,8"
9114,M Village Hồ Gươm,"38 Phố Hai Bà Trưng, Quận Hoàn Kiếm","Phòng khách ở khách sạn được trang bị máy pha cà phê. Ngoài phòng tắm riêng với vòi sen và đồ vệ sinh cá nhân miễn phí, các phòng tại M Village Hồ Gươm cũng có Wi-Fi miễn phí, trong đó một số phòng có view thành phố. Tại chỗ nghỉ, mỗi phòng đều được thiết kế có ga trải giường và khăn tắm. Khách có thể chơi trò phi tiêu tại M Village Hồ Gươm. Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt. Các điểm tham quan nổi tiếng gần khách sạn bao gồm Nhà thờ Thánh Joseph, Nhà hát Lớn Hà Nội và Nhà hát múa rối Thăng Long.",Hà Nội,3,,"9,1"
8790,Melia Hanoi Hotel,"44B Ly Thuong Kiet Street, Quận Hoàn Kiếm","Phòng nghỉ hiện đại tại đây được trang bị TV truyền hình cáp màn hình phẳng, két an toàn và tiện nghi pha trà/cà phê. Dịch vụ phòng 24 giờ được cung cấp hằng ngày. Du khách có thể nạp lại năng lượng bằng cách bơi lội hoặc rèn luyện sức khỏe tại trung tâm thể dục. Chỗ nghỉ cũng có dịch vụ mát-xa và phòng xông hơi khô. Quầy du lịch và dịch vụ văn phòng nằm trong số các tiện nghi của khách sạn. Khách sạn nằm trong bán kính khoảng 650 m từ trung tâm thương mại Tràng Tiền Plaza. Nhà Hát Lớn Hà Nội cách đó 1,2 km.",Hà Nội,5,,"8,7"
7355,Mercury Central Hotel Hanoi,"32 Hang Trong, Quận Hoàn Kiếm","Nằm cách Hồ Hoàn Kiếm xinh đẹp 2 phút đi bộ, Mercury Central Hotel Hanoi cung cấp phòng nghỉ hiện đại với Wi-Fi miễn phí và trái cây hàng ngày. Tọa lạc trên Phố Hàng Trống, khách sạn này cũng cung cấp dịch vụ fax và photocopy miễn phí. Nhà hàng trong khuôn viên chỉ mở cửa phục vụ bữa sáng. Tất cả phòng nghỉ tại đây đều có sàn gỗ, máy điều hòa, TV màn hình phẳng, két an toàn cá nhân và minibar. Phòng tắm riêng đi kèm bồn tắm và góc tắm vòi sen.",Hà Nội,3,,"8,9"
7015,De Syloia Hotel,"17A đường Trần Hưng Đạo, Quận Hoàn Kiếm","De Syloia Hotel là một biệt thự kiểu thuộc địa nằm trong khoảng cách đi bộ đến Nhà Hát Lớn, Khu Phố Cổ và Hồ Hoàn Kiếm. Nơi đây cung cấp chỗ ở rộng rãi với bồn tắm và Wi-Fi miễn phí. Tất cả các phòng nghỉ tại Syloia Hotel đều được trang bị máy lạnh, TV truyền hình vệ tinh màn hình phẳng và minibar. Ngoài ra còn đi kèm két an toàn và máy sấy tóc. Các phòng có khu vực tiếp khách với ghế bành và bàn uống cà phê. Du khách có thể rèn luyện sức khoẻ tại trung tâm thể dục đầy đủ trang thiết bị hoặc tận dụng bàn đặt tour để tổ chức các hoạt động trong ngày đến các điểm tham quan của địa phương. Khách sạn cung cấp dịch vụ cho thuê xe hơi. Nhà hàng Cây Cau phục vụ các món ăn Việt Nam chính thống. Du khách có thể dùng bữa trong sự riêng tư ngay tại phòng nghỉ của mình.",Hà Nội,4,,"8,8"
7509,Hanoi La Selva Central Hotel & Spa,"90 Cầu Gỗ, Quận Hoàn Kiếm","Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Hanoi La Selva Central Hotel & Spa cung cấp các phòng có điều hòa, sân hiên, Wi-Fi miễn phí và nhà hàng. Khách sạn 3 sao này có bếp chung và dịch vụ phòng. Đây là chỗ nghỉ không gây dị ứng và nằm cách Nhà hát múa rối Thăng Long 1 phút đi bộ. Với phòng tắm riêng được trang bị vòi xịt/chậu rửa vệ sinh và đồ vệ sinh cá nhân miễn phí, một số phòng tại khách sạn cũng có view thành phố. Các phòng đều đi kèm với ga trải giường và khăn tắm. Chỗ nghỉ có sân chơi trẻ em. Khách sạn này có dịch vụ thuê xe đạp và dịch vụ thuê ô tô. Ngoài ra, đi xe đạp là hoạt động được ưa chuộng trong khu vực. Khách có thể sử dụng dịch vụ văn phòng hoặc thư giãn tại quầy bar. Đội ngũ nhân viên lễ tân 24/24 giao tiếp thành thạo bằng tiếng Anh và tiếng Việt.",Hà Nội,4,,"8,8"
8959,SOJO Hotel Ga Hanoi,"115 Tran Hung Dao Street, Hoan Kiem Dist, Quận Hoàn Kiếm","Nằm tại vị trí thuận tiện ở Hà Nội, SOJO Hotel Ga Hanoi cung cấp các phòng có điều hòa, phòng chờ chung, Wi-Fi miễn phí và nhà hàng. Khách sạn 4 sao này có bếp chung và dịch vụ phòng. Du khách có thể thưởng thức đồ uống tại quầy bar. Ngoài phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí, các phòng tại khách sạn đều có view thành phố. Tại SOJO Hotel Ga Hanoi, tất cả các phòng đều được thiết kế có bàn làm việc và TV màn hình phẳng. Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet hoặc kiểu Á.
",Hà Nội,4,,"8,9"
6492,Grand Vista Hanoi,"146 Giảng Võ, Ba Đình, Hà Nội, Việt Nam","Khách sạn sẽ cung cấp cho khách các phòng có điều hòa, bàn làm việc, ấm đun nước, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi sen. Tại Grand Vista Hanoi, tất cả các phòng đều được thiết kế có ga trải giường và khăn tắm. Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet và thực đơn à la carte mỗi sáng. Grand Vista Hanoi cung cấp chỗ nghỉ 5 sao với hồ bơi trong nhà, phòng xông hơi khô và bể sục. Khách có thể sử dụng dịch vụ văn phòng hoặc thư giãn tại quầy bar. Khách sạn cách Bảo tàng mỹ thuật Việt Nam 2.6 km và Văn Miếu - Quốc Tử Giám 2.6 km. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Grand Vista Hanoi 25 km.",Hà Nội,5,,"8,6"
6328,Thang Long Opera Hotel Hanoi,"1C P. Tông Đản, French Quarter, Hoàn Kiếm, Hà Nội, Việt Nam","Thang Long Opera Hotel cung cấp chỗ nghỉ tại thủ đô Hà Nội đậm đà văn hóa, chỉ cách Nhà Hát Lớn Hà Nội và hồ Hoàn Kiếm 400 m. Khách nghỉ tại khách sạn có thể thưởng thức đồ uống ưa thích tại quầy bar trong khuôn viên và sử dụng WiFi miễn phí. Khách sạn cũng cho thuê xe máy. Bảo Tàng Cách Mạng Việt Nam cách Thang Long Opera Hotel 300 m trong khi Nhà thờ Lớn cách đó 900 m. Sân bay quốc tế Nội Bài cách chỗ nghỉ 22 km. Khách sạn có trung tâm dịch vụ doanh nhân. Nhân viên giao tiếp bằng nhiều thứ tiếng tại lễ tân 24 giờ có thể hỗ trợ khách với các dịch vụ như thu đổi ngoại tệ, đặt tour du lịch, đặt vé, phòng giữ hành lý cũng như các dịch vụ trợ giúp đặc biệt khác. Khách sạn còn có trung tâm thể dục nằm trên tầng 7 và trung tâm spa ở tầng trệt. Hai lựa chọn ăn uống trong khuôn viên phục vụ một loạt món ăn Việt Nam, châu Á và quốc tế trong khi cửa hàng bánh có nhiều loại bánh ngọt và bánh nướng.",Hà Nội,4,,"8,3"
9374,Ancient Paradise Hotel,"95 P. Hàng Chiếu, Hàng Buồm, Hoàn Kiếm, Hà Nội, Việt Nam","Nằm tại vị trí thuận tiện ở trung tâm Hà Nội, Hanoi Ancient Paradise Hotel cách Ô Quan Chưởng 3 phút đi bộ và Nhà hát múa rối Thăng Long chưa đến 1 km. Ngoài nhà hàng, khách sạn 3 sao này còn có các phòng với điều hòa được trang bị Wi-Fi miễn phí, trong đó mỗi phòng đều có phòng tắm riêng. Chỗ nghỉ này cung cấp dịch vụ phòng và quầy lễ tân 24 giờ cho khách. Tại khách sạn, mỗi phòng đều được thiết kế có bàn làm việc và TV màn hình phẳng. Các phòng đều có ga trải giường và khăn tắm. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Hồ Hoàn Kiếm, Nhà thờ Thánh Joseph và Đền Quán Thánh. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Hanoi Ancient Paradise Hotel 23 km.",Hà Nội,3,,"8,1"
8160,Nesta - The Grand Hao Nam,"83 P. Hào Nam, Chợ Dừa, Đống Đa, Hà Nội, Việt Nam","Căn hộ có ban công nơi khách có thể nhìn ra khu vườn, khu vực ghế ngồi, TV màn hình phẳng truyền hình vệ tinh, bếp đầy đủ tiện nghi gồm tủ lạnh và lò vi sóng, cùng phòng tắm riêng được trang bị vòi sen và đồ vệ sinh cá nhân miễn phí. Để thuận tiện hơn cho khách, chỗ nghỉ có thể cung cấp khăn tắm và khăn trải giường với khoản phụ phí. Khách có thể sử dụng dịch vụ văn phòng hoặc thư giãn tại quầy bar. Nesta Grand Hao Nam có dịch vụ cho thuê ô tô. Các điểm tham quan nổi tiếng gần chỗ nghỉ bao gồm Bảo tàng mỹ thuật Việt Nam, Văn Miếu - Quốc Tử Giám và Chùa Một Cột. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách Nesta Grand Hao Nam 26 km.",Hà Nội,4,,"8,7"
6587,Little Charm Hanoi Hostel,"44 P. Hàng Bồ, Hàng Bồ, Hoàn Kiếm, Hà Nội","Tất cả các phòng đều được trang bị tủ khóa và đèn đọc sách cá nhân. Du khách có thể sử dụng phòng tắm chung với vòi sen và đồ vệ sinh cá nhân miễn phí. Bữa sáng kiểu lục địa được phục vụ hàng ngày. Nhân viên lễ tân sử dụng cả tiếng Anh lẫn tiếng Việt có thể giúp khách thông tin du lịch, dịch vụ thuê xe máy, phòng giữ hành lý và dịch vụ giặt là. Dịch vụ đưa dón, dịch vụ thuê xe đạp và dịch vụ thuê xe hơi được cung cấp với một khoản phụ phí. Nhà trọ cũng có dịch vụ thu đổi ngoại tệ và máy ATM. Cách Nhà hát Múa rối Nước Thăng Long 5 phút đi bộ và Đền Ngọc Sơn 500 m. Sân bay gần nhất là sân bay quốc tế Nội Bài, cách đó 21 km.",Hà Nội,3,,"9,1"
8246,Hotel De Rond Hanoi,"15 Phố Tông Đản, Quận Hoàn Kiếm","Khách sạn cung cấp cho khách các phòng có điều hòa, tủ quần áo, ấm đun nước, tủ lạnh, minibar, két an toàn, TV màn hình phẳng và phòng tắm riêng với vòi xịt/chậu rửa vệ sinh. Tại Hotel De Rond, các phòng đều đi kèm với ga trải giường và khăn tắm. Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet hoặc kiểu lục địa. Các điểm tham quan nổi tiếng gần Hotel De Rond bao gồm Nhà hát múa rối Thăng Long, Tràng Tiền Plaza và Hồ Hoàn Kiếm. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 24 km.",Hà Nội,4,,"8,9"
9934,Affa Boutique Hotel,"17 Tràng Thi, Quận Hoàn Kiếm","Các căn ở khách sạn được trang bị TV màn hình phẳng. Tại Affa Boutique Hotel, các phòng được thiết kế có ga trải giường và khăn tắm. Chỗ nghỉ có phục vụ bữa sáng thực đơn buffet mỗi buổi sáng. Bên cạnh quầy bar ngay trong khuôn viên, khách còn có thể sử dụng khu vực văn phòng/hội họp. Các điểm tham quan nổi tiếng gần Affa Boutique Hotel bao gồm Nhà thờ Thánh Joseph, Tràng Tiền Plaza và Nhà hát Lớn Hà Nội. Sân bay gần nhất là Sân bay Quốc tế Nội Bài, cách khách sạn 25 km, đồng thời chỗ nghỉ này cũng cung cấp dịch vụ đưa đón sân bay mất phí.",Hà Nội,3,,"8,7"
8053,La Santé Hotel & Spa,"42 Chau Long street, Ba Dinh district, Quận Ba Đình","Nằm gần Hồ Trúc Bạch và Hồ Tây, La Sante Hotel & Spa có quầy lễ tân 24 giờ. Khách sạn cung cấp các phòng nghỉ tiện nghi với lối trang trí hiện đại và Wi-Fi miễn phí trong toàn bộ khuôn viên. Khách sạn chỉ cách Hồ Hoàn Kiếm, Cầu Thê Húc và Đền Ngọc Sơn 10 phút lái xe thuận tiện. Sân bay quốc tế Nội Bài cách đó khoảng 45 phút lái xe. Các phòng nghỉ máy lạnh tại đây có sàn lát gỗ, tủ quần áo, TV truyền hình cáp màn hình phẳng, minibar và khu vực tiếp khách. Các phòng tắm riêng đi kèm máy sấy tóc, bồn tắm, tiện nghi vòi sen và đồ vệ sinh cá nhân miễn phí. Du khách có thể yêu cầu các dịch vụ giữ hành lý, giặt là và ủi. Dịch vụ đưa đón sân bay cũng có thể được sắp xếp cho khách với một khoản phụ phí. Khách sạn có nhà hàng phục vụ bữa sáng tự chọn gồm các món ăn Việt Nam và quốc tế.",Hà Nội,4,,"8,1"
8012,Grand Cititel Hanoi Hotel & Spa,"13B Tong Dan, Trang Tien Ward, Quận Hoàn Kiếm","Tọa lạc tại quận Hoàn Kiếm ở thành phố Hà Nội, Grand Cititel Hanoi Hotel & Spa cung cấp WiFi miễn phí toàn khuôn viên và bữa sáng tự chọn hàng ngày ở nhà hàng trong khuôn viên từ 06:00 đến 10:00. Du khách đi bộ 3 phút là đến Bảo tàng cách mạng Việt Nam, Bảo tàng lịch sử quốc gia Việt Nam và Nhà hát Lớn Hà Nội. Tất cả các phòng nghỉ đầy phong cách tại đây đều có máy điều hòa, truyền hình cáp màn hình phẳng, két an toàn, bàn làm việc và phòng tắm riêng đi kèm vòi sen cùng đồ vệ sinh cá nhân miễn phí. Từ khách sạn, quý khách lái xe 10 phút là đến các địa danh nổi tiếng của thành phố như Hồ Hoàn Kiếm, Nhà hát múa rối nước Thăng Long cũng như Nhà thờ Lớn Hà Nội và lái xe 45 phút là tới sân bay quốc tế Nội Bài.",Hà Nội,4,,"8,5"
6108,Serenity Diamond Hotel,"1 Cua Dong Street, Quận Hoàn Kiếm","Serenity Diamond Hotel tọa lạc tại Khu Phố Cổ của Hà Nội, cách Hồ Hoàn Kiếm và Chợ Đồng Xuân 5 phút đi bộ. Các phòng được trang bị các máy tính và kết nối Wi-Fi miễn phí. Các phòng máy lạnh tại đây có truyền hình vệ tinh, minibar và máy pha trà/cà phê. Máy sấy tóc và tiện nghi vòi sen nước nóng được cung cấp. Khách sạn có bàn đặt tour, dịch vụ thu đổi ngoại tệ và dịch vụ cho thuê xe hơi. Nhà hàng của khách sạn phục vụ các món đặc sản phương Tây và Việt Nam. Serenity Diamond Hotel cách Sân bay Quốc tế Nội Bài 30 phút lái xe. Khách sạn cách Ga Hà Nội 10 phút lái xe.",Hà Nội,3,,"7,9"
